"Domaine","Permission","Action","Portée","Inclut aussi","organization.owner","organization.admin","organization.user","workspace.admin","workspace.member","workspace.viewer","workspace.knowledge_editor","workspace.agent_user","Références du code"
"Organisation et projets","workspaces.curate","Gérer les assistants, connaissances et connexions communs, sans administrer les droits d’accès.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/admin/auth.ts](../src/modules/admin/auth.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","organization.delete","Supprimer l’organisation et tous ses projets.","Organisation","—","Oui","—","—","—","—","—","—","—","[src/components/iam/access-console.access-console.view.section-2.tsx](../src/components/iam/access-console.access-console.view.section-2.tsx)<br>[src/modules/iam/scope-lifecycle.delete-organization.ts](../src/modules/iam/scope-lifecycle.delete-organization.ts)<br>[src/modules/iam/scope-lifecycle.normalized-slug.ts](../src/modules/iam/scope-lifecycle.normalized-slug.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","organization.transfer","Déplacer ou cloner une organisation vers une autre organisation autorisée.","Organisation","—","Oui","—","—","—","—","—","—","—","[src/modules/iam/organization-transfer.organization-transfer-destination.ts](../src/modules/iam/organization-transfer.organization-transfer-destination.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","workspaces.delete","Supprimer un projet et ses ressources.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/components/iam/access-console.access-console.view.section-2.tsx](../src/components/iam/access-console.access-console.view.section-2.tsx)<br>[src/modules/iam/resource-deletion.ts](../src/modules/iam/resource-deletion.ts)<br>[src/modules/iam/scope-lifecycle.normalized-slug.ts](../src/modules/iam/scope-lifecycle.normalized-slug.ts)<br>[src/modules/iam/scope-lifecycle.rename-organization.ts](../src/modules/iam/scope-lifecycle.rename-organization.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","workspaces.transfer","Déplacer ou cloner les ressources et leurs attributions d’accès.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/modules/iam/organization-transfer.organization-transfer-destination.ts](../src/modules/iam/organization-transfer.organization-transfer-destination.ts)<br>[src/modules/iam/resource-transfer.transfer-access-policies.ts](../src/modules/iam/resource-transfer.transfer-access-policies.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","roles.get","Consulter les rôles, attributions, membres et équipes.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/iam/member-transfer.list-member-transfer-destinations.ts](../src/modules/iam/member-transfer.list-member-transfer-destinations.ts)<br>[src/modules/iam/member-transfer.member-transfer-modes.ts](../src/modules/iam/member-transfer.member-transfer-modes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)<br>[src/modules/iam/use-cases.list-project-access-resources.ts](../src/modules/iam/use-cases.list-project-access-resources.ts)"
"Organisation et projets","roles.create","Créer un rôle limité aux permissions que vous détenez.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/components/iam/access-console.access-console.tsx](../src/components/iam/access-console.access-console.tsx)<br>[src/components/iam/access-console.access-console.view.section-1.section-1.section-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-1.section-2.tsx)<br>[src/modules/iam/use-cases.create-custom-role.ts](../src/modules/iam/use-cases.create-custom-role.ts)"
"Organisation et projets","roles.update","Modifier les permissions d’un rôle subordonné, sans modifier vos propres accès.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/modules/iam/access-capabilities.ts](../src/modules/iam/access-capabilities.ts)<br>[src/modules/iam/use-cases.update-custom-role.ts](../src/modules/iam/use-cases.update-custom-role.ts)"
"Organisation et projets","roles.delete","Supprimer un rôle subordonné qui n’est plus attribué.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/modules/iam/access-capabilities.ts](../src/modules/iam/access-capabilities.ts)<br>[src/modules/iam/use-cases.update-custom-role.ts](../src/modules/iam/use-cases.update-custom-role.ts)"
"Organisation et projets","roles.assign","Accorder des accès à des membres ou équipes moins privilégiés.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/components/iam/access-console.access-console.tsx](../src/components/iam/access-console.access-console.tsx)<br>[src/components/iam/access-console.access-console.view.section-1.section-3.branch-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-3.branch-2.tsx)<br>[src/components/iam/person-project-role.tsx](../src/components/iam/person-project-role.tsx)<br>[src/components/iam/principal-project-assignments.tsx](../src/components/iam/principal-project-assignments.tsx)<br>[src/modules/agent/access-scope.ts](../src/modules/agent/access-scope.ts)<br>[src/modules/iam/member-access.ts](../src/modules/iam/member-access.ts)<br>[src/modules/iam/member-transfer.list-member-transfer-destinations.ts](../src/modules/iam/member-transfer.list-member-transfer-destinations.ts)<br>[src/modules/iam/member-transfer.member-transfer-modes.ts](../src/modules/iam/member-transfer.member-transfer-modes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/modules/iam/use-cases.assign-resource-role.ts](../src/modules/iam/use-cases.assign-resource-role.ts)<br>[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)<br>[src/modules/iam/use-cases.validate-assignment-principal.ts](../src/modules/iam/use-cases.validate-assignment-principal.ts)"
